hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Muthu Silver Springs Hotel,Nairobi,Kenya,"Muthu Silver Springs Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 7030 48000,https://www.muthuhotelsmgm.com/muthu-silver-springs-hotel.html,https://www.openstreetmap.org/node/30030203,-1.2948671,36.8029188
Olive Gardens,Nairobi,Kenya,"Olive Gardens is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30210283,-1.2942562,36.7960167
Nairobi Serena Hotel,Nairobi,Kenya,"Nairobi Serena Hotel is an accommodation option in Nairobi, Kenya.",wheelchair,Not listed,,,https://www.openstreetmap.org/node/30215036,-1.2872567,36.8143511
High Point Hotel,Nairobi,Kenya,"High Point Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30215039,-1.2942548,36.8163654
Southern Sun Mayfair,Nairobi,Kenya,"Southern Sun Mayfair is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30324281,-1.2631189,36.8079841
Insomnia Bar and lounge,Nairobi,Kenya,"Insomnia Bar and lounge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30324312,-1.2643036,36.8100102
Parklands Shade Hotel K1 Clubhouse,Nairobi,Kenya,"Parklands Shade Hotel K1 Clubhouse is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30402749,-1.2685831,36.8112842
Kivi Milimani,Nairobi,Kenya,"Kivi Milimani is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30406081,-1.2888973,36.8057628
Sagret Hotel Equatorial,Nairobi,Kenya,"Sagret Hotel Equatorial is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/30406082,-1.2890001,36.8042077
Panari Group,Nairobi,Kenya,"Panari Group is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 711 091000,,https://www.openstreetmap.org/node/30695846,-1.329029,36.8559302
Windsor Golf Hotel & Country Club,Nairobi,Kenya,"Windsor Golf Hotel & Country Club is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254208647000,https://www.windsorgolfresort.com/,https://www.openstreetmap.org/node/272320860,-1.2101137,36.8512283
China Garden,Nairobi,Kenya,"China Garden is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/280242935,-1.2325571,36.8121549
Wasini Luxury Homes,Nairobi,Kenya,"Wasini Luxury Homes is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/291529201,-1.2616151,36.7881205
Karen Lodge,Nairobi,Kenya,"Karen Lodge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/374275570,-1.3091392,36.704624
Safari Park Hotel,Nairobi,Kenya,"Safari Park Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/473447881,-1.2252212,36.883482
Aero Club of East Africa,Nairobi,Kenya,"Aero Club of East Africa is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/521103937,-1.3222748,36.8088297
Mayfield Guest House,Nairobi,Kenya,"Mayfield Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/583157822,-1.296813,36.800899
Glory Food hotel,Nairobi,Kenya,"Glory Food hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/612007668,-1.3116065,36.7955824
Kwa Izo Hotel,Nairobi,Kenya,"Kwa Izo Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/612007837,-1.3126591,36.7850454
Wefwe Guest House,Nairobi,Kenya,"Wefwe Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/612008680,-1.3153891,36.7950862
Mzambani hotel,Nairobi,Kenya,"Mzambani hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/612009131,-1.3127733,36.7998805
Bidwod Suites,Nairobi,Kenya,"Bidwod Suites is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/651302310,-1.2582984,36.8010448
Redbrick Hotel,Nairobi,Kenya,"Redbrick Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/701434459,-1.3417207,36.7472869
La Mada,Nairobi,Kenya,"La Mada is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/703562850,-1.2446706,36.8593253
Samra Hotel,Nairobi,Kenya,"Samra Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/720900800,-1.3134035,36.8283332
Presbyterian Guest House and Conference Center,Nairobi,Kenya,"Presbyterian Guest House and Conference Center is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/720900812,-1.3126837,36.8248067
Ngong Hills Hotel,Nairobi,Kenya,"Ngong Hills Hotel is an accommodation option in Nairobi, Kenya.",wheelchair,Not listed,,,https://www.openstreetmap.org/node/771252810,-1.2994047,36.7918327
Sankara Hotel,Nairobi,Kenya,"Sankara Hotel is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,https://sankara.com/,https://www.openstreetmap.org/node/968570105,-1.2627477,36.8023065
Blessed adolph kolping retreat and conference centre,Nairobi,Kenya,"Blessed adolph kolping retreat and conference centre is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1038219161,-1.2510697,36.8761742
Feeders bar and restaurant,Nairobi,Kenya,"Feeders bar and restaurant is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1038219190,-1.2526657,36.8657329
Margarita House,Nairobi,Kenya,"Margarita House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1078529085,-1.3262446,36.7232497
Giraffe Manor,Nairobi,Kenya,"Giraffe Manor is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1078542346,-1.3753869,36.744518
Oak Place Conference and Training Centre,Nairobi,Kenya,"Oak Place Conference and Training Centre is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1116175855,-1.2172741,36.8525715
Jimlizer Hotel,Nairobi,Kenya,"Jimlizer Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1276749986,-1.2859077,36.8804119
Adak House,Nairobi,Kenya,"Adak House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333619847,-1.2883255,36.8008658
Reata Serviced Apartments,Nairobi,Kenya,"Reata Serviced Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333619858,-1.2899767,36.8043712
Woodland Court,Nairobi,Kenya,"Woodland Court is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333644465,-1.2871729,36.7988053
Health Services Apartment,Nairobi,Kenya,"Health Services Apartment is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/1333644481,-1.2899319,36.8048166
New Hotel Salama Annex,Nairobi,Kenya,"New Hotel Salama Annex is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333644545,-1.2887395,36.8022577
Servants Quarter entrance,Nairobi,Kenya,"Servants Quarter entrance is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333647998,-1.2902902,36.8014644
Kenya Comfort Suites,Nairobi,Kenya,"Kenya Comfort Suites is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333649594,-1.2897657,36.8047147
Manyatta Backpackers & Safari,Nairobi,Kenya,"Manyatta Backpackers & Safari is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,,,https://www.openstreetmap.org/node/1333664945,-1.289045,36.8026934
Lower Guest House,Nairobi,Kenya,"Lower Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1333669428,-1.2902772,36.8014369
Hill Joy Hotel,Nairobi,Kenya,"Hill Joy Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1419004981,-1.3148454,36.8856
YMCA RECEPTION,Nairobi,Kenya,"YMCA RECEPTION is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1420033881,-1.2801517,36.8126725
Nibs,Nairobi,Kenya,"Nibs is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1427903829,-1.2759102,36.7920956
Metameta lodging,Nairobi,Kenya,"Metameta lodging is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/1432508017,-1.315818,36.8752412
